Feature,Importance
Days for shipment (scheduled),0.8898873831487755
Benefit per order,0.021186430846342
Order Profit Per Order,0.020949976984064526
Order Item Profit Ratio,0.01430406142030992
Order Item Total,0.012302987528968827
Sales per customer,0.012249399693123709
Order Item Discount,0.012059321385020848
Sales,0.0054856226501496025
Product Price,0.004893277132030862
Order Item Product Price,0.004816081013960254
Order Item Quantity,0.0018654581972539306
