Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.6918900952803013,0.7968236582694413,0.5879975752677309,0.6766655040111615,0.7002775037043282
Decision Tree,0.6947983602924883,0.8383838383838383,0.5492523742170136,0.6636960170914085,0.7278520216980925
Random Forest,0.6940782184799468,0.8246642427840024,0.5614265508183471,0.6680491689958825,0.7305470638630291
